pcode,year,month,seasonal_precip_prob_below_lead1,seasonal_precip_prob_near_lead1,seasonal_precip_prob_above_lead1,seasonal_target_season_lead1,seasonal_overlaps_kiremt_lead1,seasonal_overlaps_belg_lead1,seasonal_overlaps_gu_lead1,seasonal_overlaps_deyr_lead1,seasonal_source_lead1,seasonal_precip_prob_below_lead3,seasonal_precip_prob_near_lead3,seasonal_precip_prob_above_lead3,seasonal_target_season_lead3,seasonal_overlaps_kiremt_lead3,seasonal_overlaps_belg_lead3,seasonal_overlaps_gu_lead3,seasonal_overlaps_deyr_lead3,seasonal_source_lead3
ET0101,2014,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2014,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier
ET0101,2014,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier
ET0101,2014,5,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier
ET0101,2014,6,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2014,7,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2014,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2014,9,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2014,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2014,11,,,,djf,False,True,False,True,legacy_two_tier,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier
ET0101,2014,12,,,,jfm,False,True,False,False,legacy_two_tier,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier
ET0101,2015,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2015,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2015,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier
ET0101,2015,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier
ET0101,2015,5,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier
ET0101,2015,6,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2015,7,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2015,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2015,9,25.0,35.0,40.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2015,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2015,11,,,,djf,False,True,False,True,legacy_two_tier,40.0,35.0,25.0,fma,False,True,True,False,legacy_two_tier
ET0101,2015,12,,,,jfm,False,True,False,False,legacy_two_tier,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier
ET0101,2016,1,40.0,35.0,25.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2016,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2016,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier
ET0101,2016,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier
ET0101,2016,5,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier
ET0101,2016,6,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2016,7,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2016,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2016,9,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2016,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2016,11,,,,djf,False,True,False,True,legacy_two_tier,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier
ET0101,2016,12,,,,jfm,False,True,False,False,legacy_two_tier,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier
ET0101,2017,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2017,2,30.859162267927175,31.32827891083404,37.8125586780576,mam,False,True,True,False,nmme_elr,36.25201546596794,30.321852987677957,33.42613166678675,mjj,True,True,True,False,nmme_elr
ET0101,2017,3,31.463181727588978,30.916725774967887,37.62009264161938,amj,True,True,True,False,nmme_elr,39.51519938082916,30.01043615634795,30.474364456763908,jja,True,False,True,False,nmme_elr
ET0101,2017,4,37.16164563885614,29.80200375373928,33.0363506019279,mjj,True,True,True,False,nmme_elr,32.115882869246526,29.23311711108624,38.651000155894835,jas,True,False,False,False,nmme_elr
ET0101,2017,5,34.21937890368448,30.336792944098956,35.44382849145243,jja,True,False,True,False,nmme_elr,38.5361432754649,29.69648971743925,31.767366997339458,aso,True,False,False,True,nmme_elr
ET0101,2017,6,34.977134018656386,30.032308816277506,34.99055718241416,jas,True,False,False,False,nmme_elr,35.46616087691604,31.21415875954858,33.31968031948593,son,True,False,False,True,nmme_elr
ET0101,2017,7,36.96105287427913,30.68549227084238,32.35345486033359,aso,True,False,False,True,nmme_elr,35.09923381297138,31.088909892015973,33.81185624245469,ond,False,False,False,True,nmme_elr
ET0101,2017,8,38.22662796871105,30.935233181405085,30.838138854385566,son,True,False,False,True,nmme_elr,30.747691155918833,29.90372103467392,39.348587755977185,ndj,False,False,False,True,nmme_elr
ET0101,2017,9,38.04050946492154,30.74251860123068,31.216971908231752,ond,False,False,False,True,nmme_elr,37.203059278565995,30.887054864988293,31.909885913041506,djf,False,True,False,True,nmme_elr
ET0101,2017,10,35.826378525387575,30.672155444553628,33.50146601050119,ndj,False,False,False,True,nmme_elr,34.12068633504024,31.179443225271104,34.69987044164045,jfm,False,True,False,False,nmme_elr
ET0101,2017,11,32.21571599547022,30.03974087862513,37.74454330875687,djf,False,True,False,True,nmme_elr,32.87851642471448,30.76850688290987,36.35297649025236,fma,False,True,True,False,nmme_elr
ET0101,2017,12,34.02230761132307,31.07221122983917,34.90548122845324,jfm,False,True,False,False,nmme_elr,35.89224174559118,30.93885537474575,33.168902996063395,mam,False,True,True,False,nmme_elr
ET0101,2018,1,33.83531735453132,30.856708036461622,35.30797471725616,fma,False,True,True,False,nmme_elr,37.57411950632375,29.946820525159463,32.479059979154236,amj,True,True,True,False,nmme_elr
ET0101,2018,2,35.2049081750541,30.187133865789463,34.60795797682092,mam,False,True,True,False,nmme_elr,34.58501704023044,29.145437548810182,36.269545378526935,mjj,True,True,True,False,nmme_elr
ET0101,2018,3,36.36283460441489,29.697237065189192,33.939928319566086,amj,True,True,True,False,nmme_elr,34.17807892536733,29.41646462593964,36.40545635639687,jja,True,False,True,False,nmme_elr
ET0101,2018,4,38.94402652159411,29.838498198960533,31.217475275921345,mjj,True,True,True,False,nmme_elr,32.72712606831292,29.442882890155676,37.82999126428223,jas,True,False,False,False,nmme_elr
ET0101,2018,5,41.43936187269055,29.00899192312081,29.551646206551958,jja,True,False,True,False,nmme_elr,36.2481063223166,29.66382039425181,34.088073361778164,aso,True,False,False,True,nmme_elr
ET0101,2018,6,31.059484945931654,29.265843137256418,39.67467182433573,jas,True,False,False,False,nmme_elr,34.56506671628631,29.997764871267208,35.437168379928906,son,True,False,False,True,nmme_elr
ET0101,2018,7,38.9437660605411,30.4659213317155,30.590312619338484,aso,True,False,False,True,nmme_elr,34.113958698189066,30.960583699044935,34.9254576742614,ond,False,False,False,True,nmme_elr
ET0101,2018,8,40.023200518215326,30.055708947922092,29.921090534716587,son,True,False,False,True,nmme_elr,33.943072018932824,30.46497023214826,35.591957719251795,ndj,False,False,False,True,nmme_elr
ET0101,2018,9,39.298625684993986,30.10710383865122,30.594270468749546,ond,False,False,False,True,nmme_elr,33.886224375302454,31.731189176419452,34.38258645183945,djf,False,True,False,True,nmme_elr
ET0101,2018,10,32.43942470267037,31.11852745124792,36.442047804482314,ndj,False,False,False,True,nmme_elr,36.57052883405052,30.685440707342917,32.744030523492285,jfm,False,True,False,False,nmme_elr
ET0101,2018,11,33.52123187974358,31.38507349816884,35.093694458419826,djf,False,True,False,True,nmme_elr,34.86226810318768,31.109945429237627,34.027786468258434,fma,False,True,True,False,nmme_elr
ET0101,2018,12,35.628996630039296,31.02178437731867,33.349218984552856,jfm,False,True,False,False,nmme_elr,35.416329608539826,31.375535206422082,33.20813517167036,mam,False,True,True,False,nmme_elr
ET0101,2019,1,34.37705020304036,30.78740893027984,34.835540861707315,fma,False,True,True,False,nmme_elr,37.12078130960722,30.911604135399703,31.967614536548577,amj,True,True,True,False,nmme_elr
ET0101,2019,2,36.18722705275386,30.811874717696718,33.00089817172523,mam,False,True,True,False,nmme_elr,40.46750070646144,29.12472144559532,30.40777787577192,mjj,True,True,True,False,nmme_elr
ET0101,2019,3,37.50697149361561,30.936630949829766,31.556397584685755,amj,True,True,True,False,nmme_elr,38.322083563965215,29.639724740906374,32.03819171686195,jja,True,False,True,False,nmme_elr
ET0101,2019,4,37.61022169650208,29.24788933539379,33.141888983284936,mjj,True,True,True,False,nmme_elr,37.81391972259259,29.480703953825422,32.70537625768357,jas,True,False,False,False,nmme_elr
ET0101,2019,5,40.72451859592565,29.007323495647146,30.26815778444988,jja,True,False,True,False,nmme_elr,41.74778953158055,29.651029185035956,28.601181264730318,aso,True,False,False,True,nmme_elr
ET0101,2019,6,41.12910808313319,29.258744421435885,29.612147532396527,jas,True,False,False,False,nmme_elr,34.305077990933576,30.15353595735238,35.54138607203741,son,True,False,False,True,nmme_elr
ET0101,2019,7,38.86218115093035,30.40651189100913,30.731306978944687,aso,True,False,False,True,nmme_elr,34.038420206650905,30.701485133474215,35.26009467298937,ond,False,False,False,True,nmme_elr
ET0101,2019,8,40.268548663791215,29.819027362292697,29.912423977745874,son,True,False,False,True,nmme_elr,30.787682924125335,29.277422459343732,39.934894526649245,ndj,False,False,False,True,nmme_elr
ET0101,2019,9,42.80798093719511,29.29594424429022,27.896074808057257,ond,False,False,False,True,nmme_elr,35.59212078390997,30.932420725595698,33.475458468950045,djf,False,True,False,True,nmme_elr
ET0101,2019,10,32.62576001904145,30.430872901017892,36.94336704626818,ndj,False,False,False,True,nmme_elr,33.75021894938569,31.086859074135674,35.16292200930851,jfm,False,True,False,False,nmme_elr
ET0101,2019,11,31.707767304677162,30.259392672077393,38.032839935800205,djf,False,True,False,True,nmme_elr,33.22396740455008,31.63031957523895,35.14571302591088,fma,False,True,True,False,nmme_elr
ET0101,2019,12,33.45870774276677,30.561797665117602,35.97949456031266,jfm,False,True,False,False,nmme_elr,34.1664390030782,31.16229182825521,34.67126921554536,mam,False,True,True,False,nmme_elr
ET0101,2020,1,35.438332820517125,30.452763575930383,34.10890351951799,fma,False,True,True,False,nmme_elr,38.06417713165614,30.359549874985287,31.57627298959955,amj,True,True,True,False,nmme_elr
ET0101,2020,2,35.77199106174507,30.524810372366897,33.70319857335719,mam,False,True,True,False,nmme_elr,38.38162004273033,27.79935720069195,33.81902306590025,mjj,True,True,True,False,nmme_elr
ET0101,2020,3,34.15843565988789,30.633433959468043,35.20813036668936,amj,True,True,True,False,nmme_elr,37.50608912430101,29.03235332248305,33.46155753915573,jja,True,False,True,False,nmme_elr
ET0101,2020,4,39.26413336150302,29.890680464044664,30.84518617156278,mjj,True,True,True,False,nmme_elr,34.3352742234462,27.628675020747835,38.03605076096604,jas,True,False,False,False,nmme_elr
ET0101,2020,5,37.6200591989244,28.862786531464906,33.51715401946519,jja,True,False,True,False,nmme_elr,32.64215463362615,30.31429746820937,37.04354802966003,aso,True,False,False,True,nmme_elr
ET0101,2020,6,33.97439861718234,30.367957880449794,35.657643600669005,jas,True,False,False,False,nmme_elr,35.67743616115884,30.644279853945417,33.678284158087024,son,True,False,False,True,nmme_elr
ET0101,2020,7,37.59395523126191,29.414453343933115,32.991591446661815,aso,True,False,False,True,nmme_elr,35.41542861980747,30.70253423885915,33.882037153659226,ond,False,False,False,True,nmme_elr
ET0101,2020,8,35.91376986496278,30.790826216000454,33.295403971229256,son,True,False,False,True,nmme_elr,37.232940077620356,29.059782546123493,33.70727739265647,ndj,False,False,False,True,nmme_elr
ET0101,2020,9,30.063200074800733,30.475937596903886,39.46086250723043,ond,False,False,False,True,nmme_elr,36.70034470327516,29.23453439892063,34.06512068691751,djf,False,True,False,True,nmme_elr
ET0101,2020,10,33.43280036163743,29.851441979994537,36.71575772905403,ndj,False,False,False,True,nmme_elr,34.62358752782752,30.236869768680474,35.13954277481971,jfm,False,True,False,False,nmme_elr
ET0101,2020,11,36.6516180925167,30.475271860005446,32.87310990043027,djf,False,True,False,True,nmme_elr,35.58841433514873,31.54140139473967,32.87018425817187,fma,False,True,True,False,nmme_elr
ET0101,2020,12,34.74710927248674,30.479845745886777,34.77304497878685,jfm,False,True,False,False,nmme_elr,35.93032702289947,31.00348583870478,33.06618711402811,mam,False,True,True,False,nmme_elr
ET0101,2021,1,31.23935029566298,30.349520671378404,38.41112899110326,fma,False,True,True,False,nmme_elr,34.468438315279315,31.018213609192845,34.51334811070571,amj,True,True,True,False,nmme_elr
ET0101,2021,2,40.930975775721116,29.55688978037317,29.512134420814906,mam,False,True,True,False,nmme_elr,37.241914352800165,27.381881485324215,35.37620425339109,mjj,True,True,True,False,nmme_elr
ET0101,2021,3,38.836829786212746,30.05272375127066,31.1104465353802,amj,True,True,True,False,nmme_elr,34.33378435918257,27.00183716927649,38.66437818557705,jja,True,False,True,False,nmme_elr
ET0101,2021,4,41.78096757206735,28.95361582514608,29.265416564615393,mjj,True,True,True,False,nmme_elr,27.359230091254588,24.892443608123287,47.74832635235079,jas,True,False,False,False,nmme_elr
ET0101,2021,5,43.39437638236153,28.218872311979577,28.386751308117116,jja,True,False,True,False,nmme_elr,31.887144900610657,29.30183649858728,38.81101830474089,aso,True,False,False,True,nmme_elr
ET0101,2021,6,33.82129071572586,27.383064464613444,38.79564525433072,jas,True,False,False,False,nmme_elr,38.05164902137333,31.148626475637947,30.799724494205083,son,True,False,False,True,nmme_elr
ET0101,2021,7,40.6503237307452,29.082714641664136,30.266961698754947,aso,True,False,False,True,nmme_elr,37.396999453789974,30.748426388736554,31.854574157318968,ond,False,False,False,True,nmme_elr
ET0101,2021,8,39.59126587437091,30.760327101529484,29.648407023349705,son,True,False,False,True,nmme_elr,33.46510883450335,29.16992434522054,37.36496666563609,ndj,False,False,False,True,nmme_elr
ET0101,2021,9,36.51653871181749,33.04887008431209,30.434591203870472,ond,False,False,False,True,nmme_elr,37.74034793429724,33.47428250209111,28.785369563435093,djf,False,True,False,True,nmme_elr
ET0101,2021,10,37.78963899551579,33.61968627181343,28.590674748432814,ndj,False,False,False,True,nmme_elr,31.980860313227744,33.4325657573876,34.58657403898103,jfm,False,True,False,False,nmme_elr
ET0101,2021,11,32.21648160600265,33.64526970400372,34.1382487067242,djf,False,True,False,True,nmme_elr,34.34693487580182,33.78009849634576,31.872966498525443,fma,False,True,True,False,nmme_elr
ET0101,2021,12,35.38999941939753,34.02362784156759,30.586372708388268,jfm,False,True,False,False,nmme_elr,31.391284239575096,34.31264212156535,34.296073641438056,mam,False,True,True,False,nmme_elr
ET0101,2022,1,36.867827897016106,32.987887964924745,30.144284092761215,fma,False,True,True,False,nmme_elr,30.21810814725492,33.09272349222931,36.689168197032274,amj,True,True,True,False,nmme_elr
ET0101,2022,2,33.6539319352324,33.868211865204394,32.477856287373285,mam,False,True,True,False,nmme_elr,24.892990242803013,31.090817854483586,44.016191930381595,mjj,True,True,True,False,nmme_elr
ET0101,2022,3,31.14364434483475,32.55144369866808,36.3049118864393,amj,True,True,True,False,nmme_elr,22.541351956395076,29.82768019836741,47.630967874652775,jja,True,False,True,False,nmme_elr
ET0101,2022,4,29.862929896688225,31.828013689546115,38.30905631509735,mjj,True,True,True,False,nmme_elr,22.42836738784446,28.03086492170789,49.54076778793751,jas,True,False,False,False,nmme_elr
ET0101,2022,5,28.48404411299391,29.17297673127984,42.34297911081838,jja,True,False,True,False,nmme_elr,27.460859078278222,31.073777457393646,41.46536315670051,aso,True,False,False,True,nmme_elr
ET0101,2022,6,26.350848101038537,30.851713160615763,42.79743847981705,jas,True,False,False,False,nmme_elr,32.713984826540006,33.289368330254376,33.99664680514591,son,True,False,False,True,nmme_elr
ET0101,2022,7,27.43395375997585,31.593013211522567,40.97303303050027,aso,True,False,False,True,nmme_elr,35.13325269539059,33.54087183495191,31.32587546974239,ond,False,False,False,True,nmme_elr
ET0101,2022,8,41.23518893992985,30.141620226688644,28.623190817988082,son,True,False,False,True,nmme_elr,33.64958946579338,34.137735763372845,32.21267492935281,ndj,False,False,False,True,nmme_elr
ET0101,2022,9,33.96027585147698,33.533608472223676,32.50611570411158,ond,False,False,False,True,nmme_elr,34.95482827685218,33.28317538734258,31.761996265117627,djf,False,True,False,True,nmme_elr
ET0101,2022,10,36.40850104002076,34.28483433048793,29.306664601092514,ndj,False,False,False,True,nmme_elr,29.876678935913798,32.18193470513257,37.94138636198805,jfm,False,True,False,False,nmme_elr
